sujet,date,statut
Comment les vapeurs de térébenthine altéraient-elles la perception colorée des muralistes ?,2025-10-15T15:01:03.144519,succès
Le vermillon au mercure : pourquoi ce rouge était-il indispensable aux fresquistes abstraits ?,2025-10-17T09:37:33.801825,succès
Comment l'abstraction constructiviste a-t-elle influencé l'architecture des usines soviétiques ?,2025-10-21T09:40:18.509601,succès
Quels cancers sont statistiquement plus fréquents chez les peintres muraux abstraits professionnels ?,2025-10-24T09:36:11.612196,échec_génération
Quels cancers sont statistiquement plus fréquents chez les peintres muraux abstraits professionnels ?,2025-10-28T07:35:20.194014,échec_génération
Quels cancers sont statistiquement plus fréquents chez les peintres muraux abstraits professionnels ?,2025-11-04T07:35:52.364886,échec_génération
Quels cancers sont statistiquement plus fréquents chez les peintres muraux abstraits professionnels ?,2025-11-11T07:36:32.663772,échec_génération
Quels cancers sont statistiquement plus fréquents chez les peintres muraux abstraits professionnels ?,2025-11-18T07:22:28.630200,échec_génération
Quels cancers sont statistiquement plus fréquents chez les peintres muraux abstraits professionnels ?,2025-11-25T07:22:34.983507,échec_génération
Quels cancers sont statistiquement plus fréquents chez les peintres muraux abstraits professionnels ?,2025-12-02T07:24:43.038476,échec_génération
Quels cancers sont statistiquement plus fréquents chez les peintres muraux abstraits professionnels ?,2025-12-09T07:24:54.802489,échec_génération
Quels cancers sont statistiquement plus fréquents chez les peintres muraux abstraits professionnels ?,2025-12-16T07:26:13.619308,échec_génération
